epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,6943.09,0.99692,0.55464,1.12824,0.96102,0.96508,0.97629,0.72174,1.03247,0.43199,1.11996,0.004159,0.004159,0.004159
120,6999.68,0.98256,0.5451,1.11917,0.96173,0.96421,0.97728,0.72234,1.03321,0.43132,1.11961,0.0041095,0.0041095,0.0041095
121,7056.33,0.99272,0.55243,1.12853,0.96274,0.96603,0.97739,0.72336,1.03211,0.43065,1.11979,0.00406,0.00406,0.00406
122,7112.9,0.98503,0.5476,1.11903,0.96034,0.96409,0.97708,0.72297,1.03199,0.43079,1.11934,0.0040105,0.0040105,0.0040105
123,7169.49,0.9619,0.53503,1.10871,0.96001,0.96606,0.97635,0.72283,1.03099,0.43029,1.11699,0.003961,0.003961,0.003961
124,7226.1,0.97615,0.54209,1.11242,0.95893,0.96606,0.97634,0.72467,1.03021,0.4298,1.11709,0.0039115,0.0039115,0.0039115
125,7282.69,0.97002,0.54117,1.10797,0.9596,0.96704,0.97729,0.72297,1.02967,0.42855,1.11688,0.003862,0.003862,0.003862
126,7339.38,0.97964,0.54029,1.11505,0.96004,0.96902,0.97734,0.723,1.02851,0.42834,1.1156,0.0038125,0.0038125,0.0038125
127,7396.06,0.96145,0.53114,1.10283,0.96042,0.96682,0.97799,0.72352,1.02751,0.4282,1.11473,0.003763,0.003763,0.003763
128,7452.63,0.96923,0.53731,1.10856,0.96007,0.96972,0.97859,0.72445,1.02696,0.42739,1.11497,0.0037135,0.0037135,0.0037135
129,7509.31,0.96179,0.52413,1.10698,0.96006,0.96946,0.97838,0.72501,1.02704,0.42686,1.11461,0.003664,0.003664,0.003664
130,7565.85,0.97203,0.53435,1.10936,0.96056,0.96901,0.9778,0.72476,1.02667,0.42627,1.11467,0.0036145,0.0036145,0.0036145
131,7622.42,0.97286,0.53267,1.11171,0.96049,0.96849,0.9765,0.72442,1.02675,0.42535,1.1153,0.003565,0.003565,0.003565
132,7679.14,0.95833,0.52935,1.10459,0.95806,0.96803,0.97616,0.72435,1.02615,0.42442,1.11592,0.0035155,0.0035155,0.0035155
133,7735.73,0.96295,0.5367,1.1125,0.95906,0.96704,0.97606,0.72363,1.02639,0.42404,1.11585,0.003466,0.003466,0.003466
134,7792.39,0.95764,0.53006,1.10013,0.95909,0.96852,0.97633,0.72392,1.02587,0.42374,1.11485,0.0034165,0.0034165,0.0034165
135,7848.91,0.9597,0.53053,1.09583,0.959,0.96754,0.97721,0.72394,1.02665,0.42354,1.11613,0.003367,0.003367,0.003367
136,7905.62,0.95236,0.52474,1.09794,0.95822,0.96704,0.97614,0.72485,1.02611,0.42339,1.11649,0.0033175,0.0033175,0.0033175
137,7962.22,0.95867,0.52085,1.10357,0.95889,0.96852,0.97649,0.72498,1.02669,0.42338,1.11655,0.003268,0.003268,0.003268
